Muestra,Peso Muestra,Peso Inicial PF,Peso Final PF ,%MI
Pa fresca,0.501,0.8579,0.902,8.80239521
Pa fresca,0.5004,0.8775,0.9283,10.1518785
Pa fresca,0.5189,0.901,0.9482,9.096164964
Pa LIO 1,0.5028,0.9042,1.2554,69.84884646
Pa LIO 1,0.5025,0.8164,1.1569,67.76119403
Pa LIO 1,0.509,0.9094,1.2219,61.39489194
Pa LIO 2,0.5011,0.8579,1.0194,32.22909599
Pa LIO 2,0.5015,0.8113,0.9781,33.26021934
Pa LIO 2,0.5017,0.892,1.0576,33.00777357
Pa LIO 3,0.5003,0.8593,0.9836,24.84509294
Pa LIO 3,0.5005,0.8481,0.97,24.35564436
Pa LIO 3,0.5008,0.8585,0.9821,24.68051118
Pa SAC 1,0.5085,0.9269,1.2457,62.69419862
Pa SAC 1,0.5053,0.8316,1.1317,59.39046111
Pa SAC 1,0.5082,0.8293,1.1269,58.5596222
Pa SAC 2,0.5019,0.867,1.051,36.66068938
Pa SAC 2,0.5004,0.849,1.0331,36.79056755
Pa SAC 2,0.5006,0.9072,1.0892,36.35637235
Pa SAC 3,0.502,0.8576,1.0323,34.80079681
Pa SAC 3,0.5002,0.8588,1.0418,36.58536585
Pa SAC 3,0.5005,0.8517,1.0299,35.6043956
